dsp_pedon_id,soc_stock_30cm,soc_stock_100cm,dsp_plot_id,dspplotmgt_id,label_full,label,lu,till,trt,explanation,gen_state,site,project,soil
CeH1-2,90.68126748624,107.17048353804,CeH1,24,SHM - forage,SHM,FORAGE,Perennial,hay 1,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil
CeH1-3,112.55846861605,126.60816315181,CeH1,24,SHM - forage,SHM,FORAGE,Perennial,hay 1,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil
CeH2-1,49.5608550941,82.87070971475,CeH2,25,SHM - forage,SHM,FORAGE,Perennial,hay 2,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil
CeH2-2,67.860337759675,86.357656286635,CeH2,25,SHM - forage,SHM,FORAGE,Perennial,hay 2,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil
CeH2-3,91.40998372642,102.23147216001999,CeH2,25,SHM - forage,SHM,FORAGE,Perennial,hay 2,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil
CeH3-1,98.155963709775,NA,CeH3,26,SHM - forage,SHM,FORAGE,Perennial,hay 3,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil
CeH3-2,44.98351287932,NA,CeH3,26,SHM - forage,SHM,FORAGE,Perennial,hay 3,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil
CeH3-3,52.61298635957,70.99943846837,CeH3,26,SHM - forage,SHM,FORAGE,Perennial,hay 3,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil
IL-019-SW-ARBRTM-001,123.5963896338173,194.7592595456873,IL-019-SW-ARBRTM,31,Ref - Ref,Ref,FOREST,Perennial,Ref,Restored since 1990,Reference,Arboretum,Illinois,Drummer
IL-019-SW-ARBRTM-002,127.633380329148,201.967941161242,IL-019-SW-ARBRTM,31,Ref - Ref,Ref,FOREST,Perennial,Ref,Restored since 1990,Reference,Arboretum,Illinois,Drummer
IL-019-SW-ARBRTM-003,107.685057717326,195.252135519095,IL-019-SW-ARBRTM,31,Ref - Ref,Ref,FOREST,Perennial,Ref,Restored since 1990,Reference,Arboretum,Illinois,Drummer
IL-019-SW-RTHRML-001,85.09009133592338,144.14519092382235,IL-019-SW-RTHRML,32,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,AG-CROP,Rothermel,Illinois,Drummer
IL-019-SW-RTHRML-002,82.30804235537593,314.97192212149093,IL-019-SW-RTHRML,32,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,AG-CROP,Rothermel,Illinois,Drummer
IL-019-SW-RTHRML-003,135.4601988429834,215.8383719344034,IL-019-SW-RTHRML,32,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,AG-CROP,Rothermel,Illinois,Drummer
IL-019-SW-RTHRML-004,81.06999439476117,139.97159603813216,IL-019-SW-RTHRML,32,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,AG-CROP,Rothermel,Illinois,Drummer
IL-115-SW-ETAL-001,97.59285424262751,207.9891678686815,IL-115-SW-ETAL,33,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Etal,Illinois,Drummer
IL-115-SW-ETAL-002,77.95596951843599,158.083200108906,IL-115-SW-ETAL,33,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Etal,Illinois,Drummer
IL-115-SW-ETAL-003,87.0048923158495,155.9304502709785,IL-115-SW-ETAL,33,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Etal,Illinois,Drummer
IL-115-SW-WDFLD-001,97.885057721973,171.239713308599,IL-115-SW-WDFLD,34,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Woodfield,Illinois,Drummer
IL-115-SW-WDFLD-002,100.39037066019,184.520203114737,IL-115-SW-WDFLD,34,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Woodfield,Illinois,Drummer
IL-115-SW-WDFLD-003,98.081461441465,179.647506001785,IL-115-SW-WDFLD,34,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Woodfield,Illinois,Drummer
IL-147-SW-CRP-001,109.08066184654498,196.63260837109098,IL-147-SW-CRP,35,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Cripe,Illinois,Drummer
IL-147-SW-CRP-002,80.62378819226599,172.630924713675,IL-147-SW-CRP,35,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Cripe,Illinois,Drummer
IL-147-SW-CRP-003,72.7022529126295,125.7629007393295,IL-147-SW-CRP,35,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Cripe,Illinois,Drummer
IL-147-SW-TS-001,92.6546082119085,146.4329057544395,IL-147-SW-TS,36,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Taylor South,Illinois,Drummer
IL-147-SW-TS-002,105.0989159391545,176.3584409926965,IL-147-SW-TS,36,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Taylor South,Illinois,Drummer
IL-147-SW-TS-003,110.7667681221695,187.9295877771535,IL-147-SW-TS,36,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Taylor South,Illinois,Drummer
JoF1 - 1,115.29965250000001,152.1738525,JoF1,37,Ref - Forest,Ref,FOREST,Perennial,Forest,"Douglas fir trees 25-30 years old, McDonald Dunn Research Forest at Lewisburg Saddle.",Reference,OSU1,OregonState,Jory
JoF1 - 2,158.06981000000002,216.27081,JoF1,37,Ref - Forest,Ref,FOREST,Perennial,Forest,"Douglas fir trees 25-30 years old, McDonald Dunn Research Forest at Lewisburg Saddle.",Reference,OSU1,OregonState,Jory
JoF1 - 3,186.47997,275.20597000000004,JoF1,37,Ref - Forest,Ref,FOREST,Perennial,Forest,"Douglas fir trees 25-30 years old, McDonald Dunn Research Forest at Lewisburg Saddle.",Reference,OSU1,OregonState,Jory
JoF2 - 1,79.2221675,169.5700075,JoF2,38,Ref - Forest,Ref,FOREST,Perennial,Forest,Douglas fir trees were last harvested 25 years ago,Reference,OSU2,OregonState,Jory
JoF2 - 2,132.59575,274.49575,JoF2,38,Ref - Forest,Ref,FOREST,Perennial,Forest,Douglas fir trees were last harvested 25 years ago,Reference,OSU2,OregonState,Jory
JoF2 - 3,124.22655000000002,267.87159,JoF2,38,Ref - Forest,Ref,FOREST,Perennial,Forest,Douglas fir trees were last harvested 25 years ago,Reference,OSU2,OregonState,Jory
JoF3 - 1,114.06334890000001,165.63113610000002,JoF3,39,Ref - Forest,Ref,FOREST,Perennial,Forest,"Weyerhauser 2nd growth timber, 24 years old. Minimally managed",Reference,OSU10,OregonState,Jory
JoF3 - 2,243.15927000000002,320.88151,JoF3,39,Ref - Forest,Ref,FOREST,Perennial,Forest,"Weyerhauser 2nd growth timber, 24 years old. Minimally managed",Reference,OSU10,OregonState,Jory
JoF3 - 3,196.95432,269.6604,JoF3,39,Ref - Forest,Ref,FOREST,Perennial,Forest,"Weyerhauser 2nd growth timber, 24 years old. Minimally managed",Reference,OSU10,OregonState,Jory
JoV1 - 1,98.2788075,170.7770925,JoV1,40,SHM - Vineyard,SHM,CROP,Conservation,Vineyard,Rootstock was established over 10 years ago. Grasses and forbs are grown in rows in between as a cover crop; light discing occurs periodically but not annually.,AG-CROP,OSU4,OregonState,Jory
